SiteNumber,ReplicateNumber,Stratum,LowerHeight,ModeHeight,UpperHeight,PercentCover
ALPASH77,1,L1,0.01,,0.4,70
ALPASH77,1,M1,2,,4,5
ALPASH77,1,M2,1,,2,50
ALPASH77,1,T1,3,,10,40
ALPASH78,1,L1,0.01,,0.4,20
ALPASH78,1,M1,2,,4,10
ALPASH78,1,M2,0.5,,2,70
ALPASH78,1,T1,25,,30,40
ALPASH79,1,L1,0.01,,1,60
ALPASH79,1,M,0.3,,2.5,25
ALPASH79,1,T1,25,,30,50
ALPASH80,1,L1,0.01,,0.3,10
ALPASH80,1,M,0.3,,2,70
ALPASH80,1,T1,25,,30,40
ALPASH81,1,L1,0.1,,1.2,40
ALPASH81,1,M,1,,3,70
ALPASH81,1,T,4,,6,10
ALPASH82,1,L1,0.01,,0.5,70
ALPASH82,1,M,0.3,,1.5,25
ALPASH82,1,T1,30,,35,20
ALPASH83,1,L1,0.01,,0.5,20
ALPASH83,1,M,1,,2,70
ALPASH83,1,T1,4,,6,1
ALPASH84,1,L1,0.01,,0.5,60
ALPASH84,1,M,0.3,,1.5,40
ALPASH84,1,T1,3,,6,10
ALPASH85,1,L1,0.01,,0.4,80
ALPASH85,1,M,0.3,,2,25
ALPASH85,1,T1,35,,40,30
ALPASH86,1,L1,0.01,,1,40
ALPASH86,1,M,1,,5,70
ALPASH86,1,T1,5,,7,2
ALPASH87,1,L1,0.01,,0.6,70
ALPASH87,1,M1,3,,10,2
ALPASH87,1,M2,1,,4,30
ALPASH87,1,T1,35,,40,10
